Type,AudioCategory,WWiseIdKey,WWiseIdValue,GroupName,AliasName,Comment
Event,,Play__Dev_Device__External_Source,3462246304,Dev_Device,External_Source,
Event,,Play__Dev_Device__Tone_Generator,2415524415,Dev_Device,Tone_Generator,
Event,,Play__Dev_Robot_Factory__Scan_Loop_Stop_Bell,1550510811,Dev_Robot_Factory,Scan_Loop_Stop_Bell,
Event,,Play__Dev_Robot_Factory__Tone_1K_1Sec,392476676,Dev_Robot_Factory,Tone_1K_1Sec,
Event,,Play__Dev_Robot_Factory__Tone_1K_5Sec,3379703224,Dev_Robot_Factory,Tone_1K_5Sec,
Event,,Play__Dev_Robot__Angry_Muttering,2839960576,Dev_Robot,Angry_Muttering,
Event,,Play__Dev_Robot__Curious_Muttering,2942381837,Dev_Robot,Curious_Muttering,
Event,,Play__Dev_Robot__External_Source,2539447680,Dev_Robot,External_Source,
Event,,Play__Dev_Robot__Freq_Sweep_20Sec,4128432838,Dev_Robot,Freq_Sweep_20Sec,
Event,,Play__Dev_Robot__Freq_Sweep_5Sec,253187573,Dev_Robot,Freq_Sweep_5Sec,
Event,,Play__Dev_Robot__Mozart,627442460,Dev_Robot,Mozart,
Event,,Play__Dev_Robot__Pink_1Sec,3980968688,Dev_Robot,Pink_1Sec,
Event,,Play__Dev_Robot__Pink_5Sec,988519260,Dev_Robot,Pink_5Sec,
Event,,Play__Dev_Robot__Playpen_Freq_Sweep,2363892348,Dev_Robot,Playpen_Freq_Sweep,
Event,,Play__Dev_Robot__Tone_10_Frames_01,211516390,Dev_Robot,Tone_10_Frames_01,
Event,,Play__Dev_Robot__Tone_150_Frames_01,1536061703,Dev_Robot,Tone_150_Frames_01,
Event,,Play__Dev_Robot__Tone_1760Hz_5Sec,3488492107,Dev_Robot,Tone_1760Hz_5Sec,
Event,,Play__Dev_Robot__Tone_1K_1Sec,4068444155,Dev_Robot,Tone_1K_1Sec,
Event,,Play__Dev_Robot__Tone_1K_5Sec,1034417959,Dev_Robot,Tone_1K_5Sec,
Event,,Play__Dev_Robot__Tone_30_Frames_01,2834616264,Dev_Robot,Tone_30_Frames_01,
Event,,Play__Dev_Robot__Tone_440Hz_5Sec,1471825745,Dev_Robot,Tone_440Hz_5Sec,
Event,,Play__Robot_Sfx__Fist_Bump,1216170354,Robot_Sfx,Fist_Bump,
Event,,Play__Robot_Vic_Scene__Anim_Abort,3575715931,Robot_Vic_Scene,Anim_Abort,
Event,,Play__Robot_Vic_Scene__Low_Power_Mode_Off,2023173047,Robot_Vic_Scene,Low_Power_Mode_Off,
Event,,Play__Robot_Vic_Scene__Low_Power_Mode_On,596052867,Robot_Vic_Scene,Low_Power_Mode_On,
Event,,Play__Robot_Vic_Scene__Mov_Rtpc_Reset,1762574059,Robot_Vic_Scene,Mov_Rtpc_Reset,
Event,,Play__Robot_Vic_Scene__Quiet_Off,2112819935,Robot_Vic_Scene,Quiet_Off,
Event,,Play__Robot_Vic_Scene__Quiet_On,1987410443,Robot_Vic_Scene,Quiet_On,
Event,,Play__Robot_Vic_Sfx__Attention_Device_Loop_Play,1135332675,Robot_Vic_Sfx,Attention_Device_Loop_Play,
Event,,Play__Robot_Vic_Sfx__Attention_Device_Phone,3705436708,Robot_Vic_Sfx,Attention_Device_Phone,
Event,,Play__Robot_Vic_Sfx__Behavior_Playback_Audio,2989671047,Robot_Vic_Sfx,Behavior_Playback_Audio,
Event,,Play__Robot_Vic_Sfx__Blackjack_Deal,3691452503,Robot_Vic_Sfx,Blackjack_Deal,
Event,,Play__Robot_Vic_Sfx__Blackjack_Getin,3981041882,Robot_Vic_Sfx,Blackjack_Getin,
Event,,Play__Robot_Vic_Sfx__Blackjack_Lose,1871298466,Robot_Vic_Sfx,Blackjack_Lose,
Event,,Play__Robot_Vic_Sfx__Blackjack_Spread,3797626084,Robot_Vic_Sfx,Blackjack_Spread,
Event,,Play__Robot_Vic_Sfx__Blackjack_Swipe,3428971105,Robot_Vic_Sfx,Blackjack_Swipe,
Event,,Play__Robot_Vic_Sfx__Blackjack_Win,293598009,Robot_Vic_Sfx,Blackjack_Win,
Event,,Play__Robot_Vic_Sfx__Blink,3688286452,Robot_Vic_Sfx,Blink,
Event,,Play__Robot_Vic_Sfx__Camera_Charge_Play,1312053763,Robot_Vic_Sfx,Camera_Charge_Play,
Event,,Play__Robot_Vic_Sfx__Camera_Flash,3043844820,Robot_Vic_Sfx,Camera_Flash,
Event,,Play__Robot_Vic_Sfx__Camera_Focus,4217238598,Robot_Vic_Sfx,Camera_Focus,
Event,,Play__Robot_Vic_Sfx__Camera_Focus_1,1736370598,Robot_Vic_Sfx,Camera_Focus_1,
Event,,Play__Robot_Vic_Sfx__Camera_Focus_2,1736370597,Robot_Vic_Sfx,Camera_Focus_2,
Event,,Play__Robot_Vic_Sfx__Camera_Focus_3,1736370596,Robot_Vic_Sfx,Camera_Focus_3,
Event,,Play__Robot_Vic_Sfx__Charger_Search_Ping,2908727346,Robot_Vic_Sfx,Charger_Search_Ping,
Event,,Play__Robot_Vic_Sfx__Concentrate_Fail,4080696361,Robot_Vic_Sfx,Concentrate_Fail,
Event,,Play__Robot_Vic_Sfx__Concentrate_Loop_Play,1251262896,Robot_Vic_Sfx,Concentrate_Loop_Play,
Event,,Play__Robot_Vic_Sfx__Concentrate_Success,3430886582,Robot_Vic_Sfx,Concentrate_Success,
Event,,Play__Robot_Vic_Sfx__Dsp_Loop_Play,4074272165,Robot_Vic_Sfx,Dsp_Loop_Play,
Event,,Play__Robot_Vic_Sfx__Emote_Curious_Long,168487306,Robot_Vic_Sfx,Emote_Curious_Long,
Event,,Play__Robot_Vic_Sfx__Emote_Curious_Long_Stim,4206946690,Robot_Vic_Sfx,Emote_Curious_Long_Stim,
Event,,Play__Robot_Vic_Sfx__Emote_Curious_Short,278213126,Robot_Vic_Sfx,Emote_Curious_Short,
Event,,Play__Robot_Vic_Sfx__Emote_Curious_Short_Stim,100246366,Robot_Vic_Sfx,Emote_Curious_Short_Stim,
Event,,Play__Robot_Vic_Sfx__Emote_Happy_Long,2274456998,Robot_Vic_Sfx,Emote_Happy_Long,
Event,,Play__Robot_Vic_Sfx__Emote_Happy_Long_Stim,32945214,Robot_Vic_Sfx,Emote_Happy_Long_Stim,
Event,,Play__Robot_Vic_Sfx__Emote_Happy_Short,2483759946,Robot_Vic_Sfx,Emote_Happy_Short,
Event,,Play__Robot_Vic_Sfx__Emote_Happy_Short_Stim,2268335938,Robot_Vic_Sfx,Emote_Happy_Short_Stim,
Event,,Play__Robot_Vic_Sfx__Emote_Sad_Long,3168489024,Robot_Vic_Sfx,Emote_Sad_Long,
Event,,Play__Robot_Vic_Sfx__Emote_Sad_Long_Stim,3323464084,Robot_Vic_Sfx,Emote_Sad_Long_Stim,
Event,,Play__Robot_Vic_Sfx__Emote_Sad_Short,3300673888,Robot_Vic_Sfx,Emote_Sad_Short,
Event,,Play__Robot_Vic_Sfx__Emote_Sad_Short_Stim,1506863732,Robot_Vic_Sfx,Emote_Sad_Short_Stim,
Event,,Play__Robot_Vic_Sfx__Eye_Color_Change,2345965616,Robot_Vic_Sfx,Eye_Color_Change,
Event,,Play__Robot_Vic_Sfx__Fist_Bump,1328248747,Robot_Vic_Sfx,Fist_Bump,
Event,,Play__Robot_Vic_Sfx__Head_Down_Long,4160539616,Robot_Vic_Sfx,Head_Down_Long,
Event,,Play__Robot_Vic_Sfx__Head_Down_Long_Angry,1500480562,Robot_Vic_Sfx,Head_Down_Long_Angry,
Event,,Play__Robot_Vic_Sfx__Head_Down_Long_Curious,4129494295,Robot_Vic_Sfx,Head_Down_Long_Curious,
Event,,Play__Robot_Vic_Sfx__Head_Down_Long_Effort,3240385917,Robot_Vic_Sfx,Head_Down_Long_Effort,
Event,,Play__Robot_Vic_Sfx__Head_Down_Long_Excited,2727115439,Robot_Vic_Sfx,Head_Down_Long_Excited,
Event,,Play__Robot_Vic_Sfx__Head_Down_Long_Frustrated,3773492765,Robot_Vic_Sfx,Head_Down_Long_Frustrated,
Event,,Play__Robot_Vic_Sfx__Head_Down_Long_Happy,2316978067,Robot_Vic_Sfx,Head_Down_Long_Happy,
Event,,Play__Robot_Vic_Sfx__Head_Down_Long_Neutral,1242048048,Robot_Vic_Sfx,Head_Down_Long_Neutral,
Event,,Play__Robot_Vic_Sfx__Head_Down_Long_Sad,1984864293,Robot_Vic_Sfx,Head_Down_Long_Sad,
Event,,Play__Robot_Vic_Sfx__Head_Down_Long_Surprised,3279354518,Robot_Vic_Sfx,Head_Down_Long_Surprised,
Event,,Play__Robot_Vic_Sfx__Head_Down_Micro_Angry,948923880,Robot_Vic_Sfx,Head_Down_Micro_Angry,
Event,,Play__Robot_Vic_Sfx__Head_Down_Micro_Curious,16087513,Robot_Vic_Sfx,Head_Down_Micro_Curious,
Event,,Play__Robot_Vic_Sfx__Head_Down_Micro_Effort,2507176587,Robot_Vic_Sfx,Head_Down_Micro_Effort,
Event,,Play__Robot_Vic_Sfx__Head_Down_Micro_Excited,3309105517,Robot_Vic_Sfx,Head_Down_Micro_Excited,
Event,,Play__Robot_Vic_Sfx__Head_Down_Micro_Frustrated,1946288595,Robot_Vic_Sfx,Head_Down_Micro_Frustrated,
Event,,Play__Robot_Vic_Sfx__Head_Down_Micro_Happy,3376462589,Robot_Vic_Sfx,Head_Down_Micro_Happy,
Event,,Play__Robot_Vic_Sfx__Head_Down_Micro_Neutral,571987810,Robot_Vic_Sfx,Head_Down_Micro_Neutral,
Event,,Play__Robot_Vic_Sfx__Head_Down_Micro_Sad,2026706803,Robot_Vic_Sfx,Head_Down_Micro_Sad,
Event,,Play__Robot_Vic_Sfx__Head_Down_Micro_Surprised,3277683584,Robot_Vic_Sfx,Head_Down_Micro_Surprised,
Event,,Play__Robot_Vic_Sfx__Head_Down_Short,2054491008,Robot_Vic_Sfx,Head_Down_Short,
Event,,Play__Robot_Vic_Sfx__Head_Down_Short_Angry,1937738898,Robot_Vic_Sfx,Head_Down_Short_Angry,
Event,,Play__Robot_Vic_Sfx__Head_Down_Short_Curious,3765223799,Robot_Vic_Sfx,Head_Down_Short_Curious,
Event,,Play__Robot_Vic_Sfx__Head_Down_Short_Effort,4271694941,Robot_Vic_Sfx,Head_Down_Short_Effort,
Event,,Play__Robot_Vic_Sfx__Head_Down_Short_Excited,1195953423,Robot_Vic_Sfx,Head_Down_Short_Excited,
Event,,Play__Robot_Vic_Sfx__Head_Down_Short_Frustrated,739422973,Robot_Vic_Sfx,Head_Down_Short_Frustrated,
Event,,Play__Robot_Vic_Sfx__Head_Down_Short_Happy,3178694131,Robot_Vic_Sfx,Head_Down_Short_Happy,
Event,,Play__Robot_Vic_Sfx__Head_Down_Short_Neutral,4005853328,Robot_Vic_Sfx,Head_Down_Short_Neutral,
Event,,Play__Robot_Vic_Sfx__Head_Down_Short_Sad,3914244997,Robot_Vic_Sfx,Head_Down_Short_Sad,
Event,,Play__Robot_Vic_Sfx__Head_Down_Short_Surprised,3841377270,Robot_Vic_Sfx,Head_Down_Short_Surprised,
Event,,Play__Robot_Vic_Sfx__Head_Loop_Play,1357335898,Robot_Vic_Sfx,Head_Loop_Play,
Event,,Play__Robot_Vic_Sfx__Head_Petting,2870501662,Robot_Vic_Sfx,Head_Petting,
Event,,Play__Robot_Vic_Sfx__Head_Petting_Level_01,902182529,Robot_Vic_Sfx,Head_Petting_Level_01,
Event,,Play__Robot_Vic_Sfx__Head_Petting_Level_02,902182530,Robot_Vic_Sfx,Head_Petting_Level_02,
Event,,Play__Robot_Vic_Sfx__Head_Petting_Level_03,902182531,Robot_Vic_Sfx,Head_Petting_Level_03,
Event,,Play__Robot_Vic_Sfx__Head_Petting_Level_04,902182532,Robot_Vic_Sfx,Head_Petting_Level_04,
Event,,Play__Robot_Vic_Sfx__Head_Up_Long,3825278913,Robot_Vic_Sfx,Head_Up_Long,
Event,,Play__Robot_Vic_Sfx__Head_Up_Long_Angry,333319843,Robot_Vic_Sfx,Head_Up_Long_Angry,
Event,,Play__Robot_Vic_Sfx__Head_Up_Long_Curious,485658282,Robot_Vic_Sfx,Head_Up_Long_Curious,
Event,,Play__Robot_Vic_Sfx__Head_Up_Long_Effort,544144366,Robot_Vic_Sfx,Head_Up_Long_Effort,
Event,,Play__Robot_Vic_Sfx__Head_Up_Long_Excited,2834027966,Robot_Vic_Sfx,Head_Up_Long_Excited,
Event,,Play__Robot_Vic_Sfx__Head_Up_Long_Frustrated,2727833730,Robot_Vic_Sfx,Head_Up_Long_Frustrated,
Event,,Play__Robot_Vic_Sfx__Head_Up_Long_Happy,1377916814,Robot_Vic_Sfx,Head_Up_Long_Happy,
Event,,Play__Robot_Vic_Sfx__Head_Up_Long_Neutral,2918178017,Robot_Vic_Sfx,Head_Up_Long_Neutral,
Event,,Play__Robot_Vic_Sfx__Head_Up_Long_Sad,1851080792,Robot_Vic_Sfx,Head_Up_Long_Sad,
Event,,Play__Robot_Vic_Sfx__Head_Up_Long_Surprised,212200851,Robot_Vic_Sfx,Head_Up_Long_Surprised,
Event,,Play__Robot_Vic_Sfx__Head_Up_Micro_Angry,2904355467,Robot_Vic_Sfx,Head_Up_Micro_Angry,
